date,ticker,action,price,size,reason,pnl_pct
2025-07-09,DELHIVERY.NS,BUY,412.79998779296875,12,CWH Breakout (Handle: ₹312.50),
2025-07-10,ASIANPAINT.NS,BUY,2507.300048828125,2,RHS Breakout (Neckline: ₹2293.74),
2025-07-10,DELHIVERY.NS,SELL,421.79998779296875,-12,RSI Overbought,2.1802326226118405
2025-07-14,COFORGE.NS,BUY,1858.7404494140624,2,RHS Breakout (Neckline: ₹1566.01),
2025-07-18,LT.NS,SELL,3489.0,-1,Death Cross,-0.3484505695766274
2025-07-21,DELHIVERY.NS,BUY,425.45001220703125,11,RHS Breakout (Neckline: ₹401.65),
2025-07-22,RELIANCE.NS,BUY,1421.721828538219,3,RHS Breakout (Neckline: ₹1247.09),
2025-07-22,DELHIVERY.NS,SELL,434.5,-11,RSI Overbought,2.1271565479624126
2025-07-23,LT.NS,BUY,3476.199951171875,1,RHS Breakout (Neckline: ₹3276.69),
2025-07-24,TITAN.NS,SELL,3467.39990234375,-1,Death Cross,1.998265814197516
